Dépt;Commune;Date;Tué(s);Blessés;dont hospitalisés;dont légers;Milieu;Autoroute;Adresse;Latitude;Longitude;Résumé
41;41199 - Saint-Amand-Longpré;01/04/2022 - 02h16;1;1;0;1;Hors agglomération;Non;Le chene au loup - Route Nationale 10;0,974;47,673;"Accident Mortel, Hors agglomération, Hors intersection, Nuit sans éclairage public, avec une météo Temps couvert et une surface chaussée : Normale. 

1 VU seul 1,5T < PTAC <=3,5T circulant sur Route Nationale (ou territoriale) RN (VMA à 80) conduit par 1 usager Masculin de 20 ans (T)

heurte 1 Tracteur routier + semi-remorque conduit par 1 usager Masculin de 25 ans  ( BL )"
89;89414 - Thorigny-sur-Oreuse;01/04/2022 - 07h00;1;0;0;0;Hors agglomération;Non;D939;3,376;48,285;"Accident Mortel, Hors agglomération, Hors intersection, Crépuscule ou aube, avec une météo Neige - grèle et une surface chaussée : Mouillée. 

1 Bicyclette circulant sur Route Départementale (ou provinciale) RD (VMA à 80) conduit par 1 usager Masculin de 41 ans (T)

heurte 1 VU seul 1,5T < PTAC <=3,5T conduit par 1 usager Masculin de 37 ans  ( Ind )"
83;83099 - Puget-sur-Argens;01/04/2022 - 09h15;1;0;0;0;En agglomération;Non;Rue Edouard Branly;6,683;43,456;"Accident Mortel, En agglomération, Hors intersection, Plein jour, avec une météo Normale et une surface chaussée : Normale. 

1 PL seul PTAC > 7,5T circulant sur Voie Communale VC (VMA à 30) conduit par 1 usager Masculin de 42 ans (Ind)


heurte 1 Piéton Feminin de 56 ans (T)."
02A;2A345 - Vero;01/04/2022 - 09h30;1;0;0;0;Hors agglomération;Non;T20;8,946;42,053;"Accident Mortel, Hors agglomération, Hors intersection, Plein jour, avec une météo Pluie légère et une surface chaussée : Mouillée. 

1 Véhicule de tourisme (VT) circulant sur Route Nationale (ou territoriale) RN (VMA à 80) conduit par 1 usager Masculin de 24 ans (T)

heurte 1 PL seul PTAC > 7,5T conduit par 1 usager Masculin de 32 ans  ( Ind )"
13;13204 - Marseille 4e Arrondissement;01/04/2022 - 09h45;1;0;0;0;En agglomération;Non;FRANÇOISE DUPARC (BOULEVARD);5,402;43,308;"Accident Mortel, En agglomération, En Y, Plein jour, avec une météo Vent fort - tempête et une surface chaussée : Normale. 

1 PL > 3,5T + remorque circulant sur Voie Communale VC (VMA à 50) conduit par 1 usager Masculin de 59 ans (Ind)


heurte 1 Piéton Feminin de 60 ans (T)."
76;76351 - Havre;01/04/2022 - 14h50;1;0;0;0;En agglomération;Non;JULES DURAND (BD);0,157;49,49;"Accident Mortel, En agglomération, Hors intersection, Plein jour, avec une météo Autre et une surface chaussée : Mouillée. 

1 Scooter <= 50 cm3 circulant sur Route Départementale (ou provinciale) RD (VMA à 50) conduit par 1 usager Masculin de 20 ans (T)

heurte 1 Tracteur routier + semi-remorque conduit par 1 usager N/C ( Ind )"
76;76711 - Tréport;01/04/2022 - 19h45;1;0;0;0;En agglomération;Non;1 Rue du Docteur Pépin;1,379;50,059;"Accident Mortel, En agglomération, Hors intersection, Crépuscule ou aube, avec une météo Normale et une surface chaussée : Normale. 

1 Véhicule de tourisme (VT) circulant sur Voie Communale VC (VMA à 30) conduit par 1 usager Masculin de 28 ans (Ind)


heurte 1 Piéton Feminin de 33 ans (T)."
12;12240 - Saint-Parthem;01/04/2022 - 20h00;1;0;0;0;Hors agglomération;Non;D963;2,248;44,627;"Accident Mortel, Hors agglomération, Hors intersection, Nuit sans éclairage public, avec une météo Neige - grèle et une surface chaussée : Verglacée. 

1 Véhicule de tourisme (VT) circulant sur Route Départementale (ou provinciale) RD (VMA à 90) conduit par 1 usager Masculin de 79 ans (T)"
02B;2B033 - Bastia;01/04/2022 - 21h00;1;0;0;0;En agglomération;Non;FRANCOIS VITTORI;9,439;42,68;"Accident Mortel, En agglomération, En T, Nuit avec éclairage public  allumé, avec une météo Pluie légère et une surface chaussée : Mouillée. 

1 Moto ou sidecar > 125 cm3 circulant sur Voie Communale VC (VMA à 50) conduit par 1 usager Masculin de 44 ans (T)"
33;33026 - Balizac;02/04/2022 - 00h10;1;0;0;0;Hors agglomération;Non;arroukats;-0,411;44,453;"Accident Mortel, Hors agglomération, Hors intersection, Nuit sans éclairage public, avec une météo Autre et une surface chaussée : Normale. 

1 Véhicule de tourisme (VT) circulant sur Route Départementale (ou provinciale) RD (VMA à 80) conduit par 1 usager Masculin de 26 ans (Ind)


heurte 1 Piéton Masculin de 33 ans (T)."
13;13039 - Fos-sur-Mer;02/04/2022 - 01h00;1;0;0;0;Hors agglomération;Non;RN 568;4,972;43,426;"Accident Mortel, Hors agglomération, Hors intersection, Nuit avec éclairage public  allumé, avec une météo Normale et une surface chaussée : Normale. 

1 Véhicule de tourisme (VT) circulant sur Route Nationale (ou territoriale) RN (VMA à 90) conduit par 1 usager Masculin de 27 ans (T)

heurte 1 PL > 3,5T + remorque conduit par 1 usager Masculin de 24 ans  ( Ind )"
