Dépt;Commune;Date;Tué(s);Blessés;dont hospitalisés;dont légers;Milieu;Autoroute;Adresse;Latitude;Longitude;Résumé
17;17133 - Cravans;01/01/2023 - 00h09;1;0;0;0;En agglomération;Non;25 Route de la Grande Mercerie;-0,719;45,599;"Accident Mortel, En agglomération, Hors intersection, Nuit sans éclairage public, avec une météo Normale et une surface chaussée : Normale. 

1 Moto ou sidecar > 125 cm3 circulant sur Route Départementale (ou provinciale) RD (VMA à 50) conduit par 1 usager Masculin de 26 ans (T)"
11;11069 - Carcassonne;01/01/2023 - 00h15;1;0;0;0;En agglomération;Non;RD 6113;2,342;43,23;"Accident Mortel, En agglomération, Hors intersection, Nuit sans éclairage public, avec une météo Normale et une surface chaussée : Normale. 

1 Véhicule de tourisme (VT) circulant sur Route Départementale (ou provinciale) RD (VMA à 50) conduit par 1 usager Feminin de 44 ans (Ind) avec 1 passager(s)  ( 1T  )."
85;85265 - Saint-Pierre-le-Vieux;01/01/2023 - 08h25;1;0;0;0;Hors agglomération;Oui;A83;-0,711;46,413;"Accident Mortel, Hors agglomération, Hors intersection, Crépuscule ou aube, avec une météo Normale et une surface chaussée : Normale. 

1 Véhicule de tourisme (VT) circulant sur Autoroute A (VMA à 130) conduit par 1 usager Masculin de 21 ans (Ind)

heurte 1 Véhicule de tourisme (VT) conduit par 1 usager Masculin de 52 ans  ( T )"
59;59112 - Bruay-sur-l'Escaut;01/01/2023 - 17h00;2;0;0;0;Hors agglomération;Non;;3,548;50,393;"Accident Mortel, Hors agglomération, Hors intersection, Crépuscule ou aube, avec une météo Normale et une surface chaussée : Non renseigné. 

1 Véhicule de tourisme (VT) circulant sur Autre autre conduit par 1 usager Masculin de 82 ans (T) avec 1 passager(s)  ( 1T  )."
53;53147 - Mayenne;01/01/2023 - 17h05;1;0;0;0;Hors agglomération;Non;;-0,59;48,299;"Accident Mortel, Hors agglomération, Hors intersection, Crépuscule ou aube, avec une météo Pluie légère et une surface chaussée : Mouillée. 

1 Véhicule de tourisme (VT) circulant sur Route Nationale (ou territoriale) RN (VMA à 80) conduit par 1 usager Masculin de 55 ans (T)

heurte 1 VU seul 1,5T < PTAC <=3,5T conduit par 1 usager Masculin de 24 ans  ( Ind )"
77;77182 - La Ferté-Gaucher;01/01/2023 - 22h35;1;0;0;0;En agglomération;Non;D204;3,304;48,78;"Accident Mortel, En agglomération, En T, Nuit sans éclairage public, avec une météo Normale et une surface chaussée : Mouillée. 

1 Véhicule de tourisme (VT) circulant sur Route Départementale (ou provinciale) RD (VMA à 50) conduit par 1 usager Masculin de 30 ans (T)"
34;34172 - Montpellier;02/01/2023 - 07h54;1;0;0;0;En agglomération;Non;3310 Boulevard Paul Valéry;3,854;43,591;"Accident Mortel, En agglomération, Hors intersection, Plein jour, avec une météo Normale et une surface chaussée : Normale. 

1 Véhicule de tourisme (VT) circulant sur Voie Communale VC (VMA à 50) conduit par 1 usager Masculin de 46 ans (Ind) avec 1 passager(s) 


heurte 1 Piéton Feminin de 71 ans (T)."
01;01225 - Lurcy;02/01/2023 - 09h15;1;2;1;1;Hors agglomération;Non;D933;4,769;46,058;"Accident Mortel, Hors agglomération, Hors intersection, Plein jour, avec une météo Temps couvert et une surface chaussée : Normale. 

1 Véhicule de tourisme (VT) circulant sur Route Départementale (ou provinciale) RD (VMA à 80) conduit par 1 usager Masculin de 21 ans (T)

heurte 1 VU seul 1,5T < PTAC <=3,5T conduit par 1 usager Masculin de 34 ans  ( BL )  avec 1 passager(s)  ( 1BH  )."
74;74010 - Annecy;02/01/2023 - 10h45;1;0;0;0;En agglomération;Non;Route du pont de brogny;6,128;45,933;"Accident Mortel, En agglomération, Hors intersection, Plein jour, avec une météo Normale et une surface chaussée : Normale. 

1 Véhicule de tourisme (VT) circulant sur Route Départementale (ou provinciale) RD (VMA à 50) conduit par 1 usager Feminin de 96 ans (T)

heurte 1 PL seul 3,5T <PTAC <= 7,5T conduit par 1 usager Masculin de 48 ans  ( Ind )"
31;31037 - Avignonet-Lauragais;02/01/2023 - 13h35;1;1;0;1;Hors agglomération;Oui;Autoroute A61, point kilométrique 271+000;1,78;43,362;"Accident Mortel, Hors agglomération, Hors intersection, Plein jour, avec une météo Pluie légère et une surface chaussée : Mouillée. 

1 Véhicule de tourisme (VT) circulant sur Autoroute A (VMA à 90) conduit par 1 usager Masculin de 20 ans (T)

heurte 1 Véhicule de tourisme (VT) conduit par 1 usager Masculin de 33 ans  ( BL ) 
heurte 1 Véhicule de tourisme (VT) conduit par 1 usager Masculin de 75 ans  ( Ind )  avec 1 passager(s)"
88;88160 - Épinal;02/01/2023 - 14h59;1;0;0;0;En agglomération;Non;ALSACE (RUE D');6,445;48,169;"Accident Mortel, En agglomération, Hors intersection, Plein jour, avec une météo Pluie légère et une surface chaussée : Mouillée. 

1 PL seul PTAC > 7,5T circulant sur Route Départementale (ou provinciale) RD (VMA à 50) conduit par 1 usager Masculin de 58 ans (Ind)


heurte 1 Piéton Masculin de 57 ans (T)."
89;89037 - Béon;03/01/2023 - 08h10;1;1;1;0;Hors agglomération;Oui;Autoroute A6;3,288;47,918;"Accident Mortel, Hors agglomération, Hors intersection, Nuit sans éclairage public, avec une météo Normale et une surface chaussée : Normale. 

1 Véhicule de tourisme (VT) circulant sur Autoroute A (VMA à 130) conduit par 1 usager Feminin de 28 ans (T) avec 1 passager(s)  ( 1BH  )."
67;67339 - Betschdorf;03/01/2023 - 12h25;1;1;1;0;Hors agglomération;Non;D243;7,93;48,898;"Accident Mortel, Hors agglomération, Hors intersection, Plein jour, avec une météo Normale et une surface chaussée : Normale. 

1 Véhicule de tourisme (VT) circulant sur Route Départementale (ou provinciale) RD (VMA à 80) conduit par 1 usager Masculin de 29 ans (BH)

heurte 1 Véhicule de tourisme (VT) conduit par 1 usager Masculin de 53 ans  ( T )"
18;18019 - Azy;03/01/2023 - 12h55;1;0;0;0;Hors agglomération;Non;;2,677;47,184;"Accident Mortel, Hors agglomération, Hors intersection, Plein jour, avec une météo Normale et une surface chaussée : Normale. 

1 Véhicule de tourisme (VT) circulant sur Route Départementale (ou provinciale) RD (VMA à 70) conduit par 1 usager Masculin de 64 ans (T)"
69;69162 - Quincié-en-Beaujolais;03/01/2023 - 14h25;1;0;0;0;Hors agglomération;Non;Route Départementale 337;4,608;46,14;"Accident Mortel, Hors agglomération, Hors intersection, Plein jour, avec une météo Normale et une surface chaussée : Normale. 

1 Moto ou sidecar > 125 cm3 circulant sur Route Départementale (ou provinciale) RD (VMA à 80) conduit par 1 usager Masculin de 76 ans (T)"
54;54578 - Villers-lès-Nancy;03/01/2023 - 16h20;1;0;0;0;Hors agglomération;Non;Avenue Paul Muller;6,127;48,656;"Accident Mortel, Hors agglomération, Hors intersection, Plein jour, avec une météo Normale et une surface chaussée : Normale. 

1 Véhicule de tourisme (VT) circulant sur Voie Communale VC (VMA à 70) conduit par 1 usager Masculin de 30 ans (Ind)

heurte 1 Vélo par assistance électrique conduit par 1 usager Feminin de 56 ans  ( T )"
02;02381 - Hirson;03/01/2023 - 17h40;1;1;1;0;Hors agglomération;Non;;4,085;49,905;"Accident Mortel, Hors agglomération, Hors intersection, Nuit sans éclairage public, avec une météo Normale et une surface chaussée : Mouillée. 

1 Tracteur agricole circulant sur Route Départementale (ou provinciale) RD (VMA à 80) conduit par 1 usager Masculin de 61 ans (Ind)

heurte 1 VU seul 1,5T < PTAC <=3,5T conduit par 1 usager Masculin de 35 ans  ( BH )  avec 2 passager(s)  ( 1T  )."
